pid,year_t0,year_t1,telco_t0,telco_t1,churn_any,churn_to_mvno,a03002_tminus1,a03024_tminus1,a03026_tminus1,c01002_tminus1,c01004_tminus1,c02003_tminus1,c02001_tminus1,age1_tminus1,income1_tminus1,job1_tminus1
100200002,2024,2025,3.0,3.0,0,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,42,7,1
100200003,2021,2022,1.0,1.0,0,0,4.0,1.0,0.0,5.0,1.0,0.0,4.0,8,1,0
100200003,2022,2023,1.0,3.0,1,0,4.0,0.0,0.0,3.0,3.0,1.0,4.0,9,1,0
100200003,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,3.0,1.0,1.0,4.0,10,1,0
100200003,2024,2025,3.0,3.0,0,0,4.0,1.0,0.0,3.0,1.0,1.0,4.0,11,1,0
10020001,2020,2021,1.0,1.0,0,0,3.0,1.0,1.0,7.0,4.0,0.0,1.0,47,8,1
10020001,2021,2022,1.0,1.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,48,8,1
10020002,2020,2021,1.0,1.0,0,0,2.0,1.0,1.0,8.0,4.0,0.0,1.0,45,1,0
10020002,2021,2022,1.0,1.0,0,0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,46,1,0
10020003,2020,2021,2.0,2.0,0,0,2.0,1.0,1.0,4.0,3.0,0.0,4.0,19,1,0
10020003,2021,2022,2.0,2.0,0,0,2.0,1.0,1.0,6.0,1.0,0.0,4.0,20,1,0
100210001,2020,2021,2.0,3.0,1,0,2.0,0.0,0.0,7.0,3.0,1.0,1.0,63,5,1
100210001,2021,2022,3.0,2.0,1,0,4.0,1.0,0.0,5.0,2.0,0.0,1.0,64,6,1
100210001,2022,2023,2.0,2.0,0,0,4.0,0.0,0.0,4.0,3.0,1.0,1.0,65,7,1
100210001,2023,2024,2.0,2.0,0,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,66,7,1
100210001,2024,2025,2.0,3.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,67,7,1
100210002,2020,2021,2.0,3.0,1,0,2.0,0.0,0.0,6.0,3.0,1.0,1.0,61,1,0
100210002,2021,2022,3.0,4.0,1,1,4.0,1.0,0.0,5.0,2.0,0.0,1.0,62,1,1
100210002,2022,2023,4.0,2.0,1,0,4.0,1.0,0.0,4.0,2.0,1.0,4.0,63,1,0
100210002,2023,2024,2.0,2.0,0,0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,64,1,0
100210002,2024,2025,2.0,3.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,4.0,65,1,0
100250001,2020,2021,1.0,1.0,0,0,3.0,0.0,1.0,7.0,1.0,1.0,1.0,42,9,1
100250001,2021,2022,1.0,1.0,0,0,3.0,1.0,0.0,6.0,3.0,1.0,1.0,43,9,1
100250001,2022,2023,1.0,1.0,0,0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,44,9,1
100250001,2023,2024,1.0,1.0,0,0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,45,9,1
100250001,2024,2025,1.0,2.0,1,0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,46,8,1
100250002,2020,2021,1.0,1.0,0,0,2.0,0.0,0.0,6.0,3.0,1.0,1.0,40,7,1
